lat,lon,prob201108
1.670833,100.5719,100
1.6625,100.5715,100
1.654167,100.5711,100
1.645833,100.5707,100
1.6375,100.5702,100
1.670833,100.5803,100
1.6625,100.5798,100
1.654167,100.5794,100
1.6375,100.5786,100
1.629167,100.5782,100
1.620833,100.5777,100
1.6125,100.5773,100
1.604167,100.5769,100
1.595833,100.5765,100
1.5875,100.5761,100
1.5625,100.5749,100
1.554167,100.5745,100
1.545833,100.5741,100
1.5375,100.5737,100
1.529167,100.5733,100
1.520833,100.5729,100
1.5125,100.5725,100
1.679167,100.589,100
1.654167,100.5878,100
1.6375,100.5869,100
1.629167,100.5865,100
1.5875,100.5844,100
1.5625,100.5832,100
1.554167,100.5828,100
1.545833,100.5824,100
1.5375,100.582,100
1.529167,100.5816,100
1.520833,100.5813,100
1.5125,100.5809,100
1.504167,100.5805,100
1.495833,100.5801,100
1.420833,100.5768,100
1.4125,100.5764,100
1.404167,100.576,100
1.395833,100.5757,100
1.3875,100.5753,100
1.379167,100.575,100
1.370833,100.5746,100
1.3625,100.5743,100
1.354167,100.5739,100
1.345833,100.5736,100
1.3375,100.5732,100
1.304167,100.5719,100
1.2875,100.5712,100
1.279167,100.5709,100
1.270833,100.5706,100
1.2625,100.5702,100
1.679167,100.5974,100
1.670833,100.5969,100
1.645833,100.5957,100
1.6375,100.5952,100
1.629167,100.5948,100
1.595833,100.5932,100
1.570833,100.592,100
1.554167,100.5912,100
1.545833,100.5908,100
1.5375,100.5904,100
1.529167,100.59,100
1.520833,100.5896,100
1.5125,100.5892,100
1.504167,100.5888,100
1.495833,100.5884,100
1.420833,100.5851,100
1.4125,100.5847,100
1.404167,100.5844,100
1.395833,100.584,100
1.3875,100.5837,100
1.379167,100.5833,100
1.370833,100.583,100
1.3625,100.5826,100
1.345833,100.5819,100
1.3375,100.5816,100
1.304167,100.5802,100
1.295833,100.5799,100
1.2875,100.5796,100
1.279167,100.5792,100
1.270833,100.5789,100
1.2625,100.5786,100
1.254167,100.5783,100
1.245833,100.5779,100
1.2375,100.5776,100
1.229167,100.5773,100
1.1125,100.5731,100
1.679167,100.6057,100
1.670833,100.6053,100
1.6625,100.6049,100
1.645833,100.604,100
1.6375,100.6036,100
1.629167,100.6032,100
1.595833,100.6015,100
1.5875,100.6011,100
1.545833,100.5991,100
1.5375,100.5987,100
1.529167,100.5983,100
1.420833,100.5934,100
1.4125,100.5931,100
1.404167,100.5927,100
1.395833,100.5923,100
1.3875,100.592,100
1.379167,100.5916,100
1.370833,100.5913,100
1.3625,100.5909,100
1.354167,100.5906,100
1.345833,100.5902,100
1.3375,100.5899,100
1.3125,100.5889,100
1.304167,100.5886,100
1.295833,100.5882,100
1.2875,100.5879,100
1.279167,100.5876,100
1.270833,100.5872,100
1.2625,100.5869,100
1.254167,100.5866,100
1.245833,100.5863,100
1.2375,100.586,100
1.229167,100.5856,100
.9041666,100.575,100
.8958333,100.5748,100
.8875,100.5746,100
.8791667,100.5743,100
.8708333,100.5741,100
.8625,100.5739,100
.8458334,100.5735,100
.8208333,100.5728,100
.8041667,100.5724,100
.7458333,100.571,100
.7375,100.5708,100
.7291667,100.5706,100
.7208334,100.5705,100
.7125,100.5703,100
1.679167,100.614,100
1.670833,100.6136,100
1.654167,100.6128,100
1.645833,100.6123,100
1.6375,100.6119,100
1.629167,100.6115,100
1.595833,100.6099,100
1.545833,100.6074,100
1.5375,100.6071,100
1.420833,100.6018,100
1.404167,100.601,100
1.395833,100.6007,100
1.3875,100.6003,100
1.379167,100.6,100
1.370833,100.5996,100
1.3625,100.5993,100
1.354167,100.5989,100
1.345833,100.5986,100
1.3375,100.5982,100
1.329167,100.5979,100
1.3125,100.5972,100
1.304167,100.5969,100
1.295833,100.5966,100
1.2875,100.5962,100
1.279167,100.5959,100
1.270833,100.5956,100
1.2625,100.5953,100
1.254167,100.5949,100
1.245833,100.5946,100
1.2375,100.5943,100
1.120833,100.5901,100
1.029167,100.5871,100
1.0125,100.5865,100
.9041666,100.5834,100
.8958333,100.5831,100
.8875,100.5829,100
.8791667,100.5827,100
.8708333,100.5825,100
.8625,100.5822,100
.8208333,100.5812,100
.8125,100.5809,100
.7458333,100.5794,100
.7375,100.5792,100
.7291667,100.579,100
.7208334,100.5788,100
.7125,100.5786,100
.7041667,100.5784,100
.6375,100.5771,100
.6291667,100.5769,100
.5958334,100.5763,100
.5875,100.5761,100
.5625,100.5757,100
.5541667,100.5755,100
.5458333,100.5754,100
.5375,100.5753,100
.5291666,100.5751,100
.5208333,100.575,100
.5125,100.5749,100
.5041667,100.5747,100
.4958333,100.5746,100
.4875,100.5745,100
.4791667,100.5743,100
.4708333,100.5742,100
.4625,100.5741,100
.4541667,100.574,100
.4458333,100.5739,100
.4375,100.5738,100
.4291667,100.5737,100
.4208333,100.5735,100
.4041667,100.5733,100
.3958333,100.5732,100
.3875,100.5731,100
.3708333,100.5729,100
.3625,100.5728,100
.3541667,100.5728,100
.3458333,100.5727,100
.3375,100.5726,100
.3041667,100.5723,100
.2958333,100.5722,100
.2875,100.5721,100
.2791667,100.572,100
.2708333,100.572,100
.1458333,100.5712,100
.1375,100.5711,100
.1291667,100.5711,100
.1208333,100.5711,100
.1125,100.571,100
.1041667,100.571,100
.0958333,100.571,100
.0875,100.571,100
.0791667,100.5709,100
.0708333,100.5709,100
.0625,100.5709,100
.0541667,100.5709,100
.0458333,100.5709,100
.0375,100.5709,100
.0291667,100.5708,100
.0208333,100.5708,100
.0125,100.5708,100
.0041667,100.5708,100
1.679167,100.6224,100
1.670833,100.6219,100
1.6625,100.6215,100
1.654167,100.6211,100
1.645833,100.6207,100
1.6375,100.6203,100
1.629167,100.6198,100
1.545833,100.6158,100
1.5375,100.6154,100
1.529167,100.615,100
1.504167,100.6138,100
1.420833,100.6101,100
1.4125,100.6097,100
1.404167,100.6094,100
1.395833,100.609,100
1.3875,100.6087,100
1.379167,100.6083,100
1.370833,100.608,100
1.3625,100.6076,100
1.354167,100.6073,100
1.345833,100.6069,100
1.3375,100.6066,100
1.329167,100.6062,100
1.320833,100.6059,100
1.3125,100.6056,100
1.295833,100.6049,100
1.2875,100.6046,100
1.279167,100.6042,100
1.270833,100.6039,100
1.2625,100.6036,100
1.254167,100.6033,100
1.245833,100.603,100
1.120833,100.5984,100
1.054167,100.5962,100
1.029167,100.5954,100
1.020833,100.5951,100
1.0125,100.5949,100
1.004167,100.5946,100
.9041666,100.5917,100
.8958333,100.5915,100
.8875,100.5912,100
.8791667,100.591,100
.8708333,100.5908,100
.8625,100.5906,100
.8125,100.5893,100
.7708333,100.5883,100
.7625,100.5881,100
.7541667,100.5879,100
.7458333,100.5877,100
.7291667,100.5873,100
.7208334,100.5871,100
.7125,100.5869,100
.7041667,100.5868,100
.6958333,100.5866,100
.6875,100.5864,100
.6791667,100.5862,100
.5958334,100.5846,100
.5875,100.5845,100
.5458333,100.5837,100
.5375,100.5836,100
.5291666,100.5835,100
.5208333,100.5833,100
.5125,100.5832,100
.5041667,100.5831,100
.4958333,100.5829,100
.4875,100.5828,100
.4791667,100.5827,100
.4708333,100.5826,100
.4625,100.5824,100
.4541667,100.5823,100
.4375,100.5821,100
.4291667,100.582,100
.4208333,100.5819,100
.4125,100.5818,100
.4041667,100.5817,100
.3958333,100.5816,100
.3875,100.5815,100
.3791667,100.5814,100
.3708333,100.5813,100
.3625,100.5812,100
.3541667,100.5811,100
.3458333,100.581,100
.3375,100.5809,100
.3291667,100.5808,100
.2958333,100.5805,100
.2791667,100.5804,100
.2708333,100.5803,100
.2625,100.5802,100
.2458333,100.5801,100
.2291667,100.58,100
.2208333,100.5799,100
.2125,100.5799,100
.2041667,100.5798,100
.1541667,100.5795,100
.1458333,100.5795,100
.1291667,100.5794,100
.1208333,100.5794,100
.1125,100.5794,100
.1041667,100.5793,100
.0958333,100.5793,100
.0875,100.5793,100
.0791667,100.5793,100
.0708333,100.5792,100
.0625,100.5792,100
.0541667,100.5792,100
.0458333,100.5792,100
.0375,100.5792,100
.0291667,100.5792,100
.0208333,100.5792,100
.0125,100.5792,100
.0041667,100.5792,100
1.679167,100.6307,100
1.670833,100.6303,100
1.6625,100.6299,100
1.654167,100.6294,100
1.645833,100.629,100
1.6375,100.6286,100
1.629167,100.6282,100
1.620833,100.6278,100
1.420833,100.6184,100
1.4125,100.6181,100
1.404167,100.6177,100
1.395833,100.6174,100
1.3875,100.617,100
1.370833,100.6163,100
1.3625,100.6159,100
1.354167,100.6156,100
1.345833,100.6153,100
1.3375,100.6149,100
1.329167,100.6146,100
1.320833,100.6142,100
1.3125,100.6139,100
1.304167,100.6136,100
1.295833,100.6132,100
1.2875,100.6129,100
1.279167,100.6126,100
1.270833,100.6123,100
1.2625,100.6119,100
1.254167,100.6116,100
1.245833,100.6113,100
1.129167,100.607,100
1.120833,100.6068,100
1.0625,100.6048,100
1.045833,100.6043,100
1.0375,100.604,100
1.029167,100.6037,100
1.020833,100.6035,100
1.0125,100.6032,100
1.004167,100.603,100
.9041666,100.6,100
.8958333,100.5998,100
.8875,100.5996,100
.8791667,100.5993,100
.8708333,100.5991,100
.8625,100.5989,100
.8375,100.5982,100
.8208333,100.5978,100
.8125,100.5976,100
.7708333,100.5966,100
.7625,100.5964,100
.7541667,100.5962,100
.7458333,100.596,100
.7375,100.5958,100
.7291667,100.5956,100
.7208334,100.5955,100
.7125,100.5953,100
.7041667,100.5951,100
.6958333,100.5949,100
.6875,100.5947,100
.6791667,100.5946,100
.6708333,100.5944,100
.5958334,100.5929,100
.5875,100.5928,100
.5375,100.5919,100
.5291666,100.5918,100
.5208333,100.5917,100
.5125,100.5915,100
.5041667,100.5914,100
.4958333,100.5913,100
.4875,100.5911,100
.4791667,100.591,100
.4708333,100.5909,100
.4625,100.5908,100
.4291667,100.5903,100
.4208333,100.5902,100
.4125,100.5901,100
.4041667,100.59,100
.3958333,100.5899,100
.3875,100.5898,100
.3625,100.5895,100
.3541667,100.5894,100
.3458333,100.5893,100
.3125,100.589,100
.2958333,100.5888,100
.2875,100.5888,100
.2791667,100.5887,100
.2708333,100.5886,100
.2625,100.5886,100
.2541667,100.5885,100
.2458333,100.5884,100
.2375,100.5884,100
.2208333,100.5882,100
.2125,100.5882,100
.2041667,100.5881,100
.1958333,100.5881,100
.1458333,100.5878,100
.1291667,100.5878,100
.1208333,100.5877,100
.1125,100.5877,100
.1041667,100.5877,100
.0958333,100.5876,100
.0875,100.5876,100
.0791667,100.5876,100
.0708333,100.5876,100
.0625,100.5876,100
.0541667,100.5875,100
.0458333,100.5875,100
.0375,100.5875,100
.0291667,100.5875,100
.0208333,100.5875,100
.0125,100.5875,100
.0041667,100.5875,100
1.679167,100.6391,100
1.6625,100.6382,100
1.654167,100.6378,100
1.645833,100.6374,100
1.6375,100.6369,100
1.629167,100.6365,100
1.620833,100.6361,100
1.6125,100.6357,100
1.604167,100.6353,100
1.420833,100.6268,100
1.4125,100.6264,100
1.404167,100.6261,100
1.395833,100.6257,100
1.3875,100.6253,100
1.379167,100.625,100
1.370833,100.6246,100
1.3625,100.6243,100
1.354167,100.6239,100
1.345833,100.6236,100
1.3375,100.6232,100
1.329167,100.6229,100
1.320833,100.6226,100
1.3125,100.6222,100
1.304167,100.6219,100
1.295833,100.6216,100
1.2875,100.6212,100
1.279167,100.6209,100
1.270833,100.6206,100
1.2625,100.6203,100
1.254167,100.6199,100
1.245833,100.6196,100
1.129167,100.6154,100
1.120833,100.6151,100
1.0625,100.6131,100
1.045833,100.6126,100
1.0375,100.6123,100
1.029167,100.6121,100
1.020833,100.6118,100
.9208333,100.6088,100
.9125,100.6086,100
.9041666,100.6084,100
.8958333,100.6081,100
.8875,100.6079,100
.8791667,100.6077,100
.8708333,100.6075,100
.8625,100.6072,100
.8375,100.6066,100
.8291667,100.6064,100
.8208333,100.6062,100
.7958333,100.6055,100
.7708333,100.6049,100
.7625,100.6047,100
.7541667,100.6045,100
.7458333,100.6044,100
.7375,100.6042,100
.7291667,100.604,100
.7208334,100.6038,100
.7125,100.6036,100
.7041667,100.6034,100
.6958333,100.6032,100
.6875,100.6031,100
.6791667,100.6029,100
.6708333,100.6027,100
.6625,100.6026,100
.6541666,100.6024,100
.5958334,100.6013,100
.5875,100.6011,100
.5291666,100.6001,100
.5125,100.5999,100
.5041667,100.5997,100
.4958333,100.5996,100
.4875,100.5995,100
.4791667,100.5993,100
.4708333,100.5992,100
.4291667,100.5987,100
.4208333,100.5985,100
.4125,100.5984,100
.3125,100.5973,100
.3041667,100.5973,100
.2625,100.5969,100
.2541667,100.5968,100
.2458333,100.5968,100
.2375,100.5967,100
.2291667,100.5966,100
.2208333,100.5966,100
.2125,100.5965,100
.2041667,100.5965,100
.1958333,100.5964,100
.1625,100.5962,100
.1291667,100.5961,100
.1041667,100.596,100
.0958333,100.596,100
.0875,100.5959,100
.0791667,100.5959,100
.0708333,100.5959,100
.0625,100.5959,100
.0541667,100.5959,100
.0458333,100.5959,100
.0375,100.5959,100
.0291667,100.5958,100
.0208333,100.5958,100
.0125,100.5958,100
.0041667,100.5958,100
1.670833,100.647,100
1.6625,100.6465,100
1.654167,100.6461,100
1.645833,100.6457,100
1.6375,100.6453,100
1.629167,100.6449,100
1.620833,100.6444,100
1.6125,100.644,100
1.604167,100.6436,100
1.4125,100.6347,100
1.404167,100.6344,100
1.395833,100.634,100
1.3875,100.6337,100
1.379167,100.6333,100
1.370833,100.633,100
1.3625,100.6326,100
1.354167,100.6323,100
1.345833,100.6319,100
1.3375,100.6316,100
1.329167,100.6312,100
1.320833,100.6309,100
1.3125,100.6306,100
1.304167,100.6302,100
1.295833,100.6299,100
1.2875,100.6296,100
1.279167,100.6292,100
1.270833,100.6289,100
1.2625,100.6286,100
1.254167,100.6283,100
1.220833,100.627,100
1.179167,100.6255,100
1.1375,100.624,100
1.129167,100.6237,100
1.070833,100.6217,100
1.045833,100.6209,100
1.0375,100.6207,100
1.029167,100.6204,100
1.020833,100.6201,100
1.0125,100.6199,100
1.004167,100.6196,100
.9958333,100.6194,100
.9875,100.6191,100
.9791667,100.6189,100
.9208333,100.6172,100
.9125,100.6169,100
.9041666,100.6167,100
.8958333,100.6165,100
.8875,100.6162,100
.8791667,100.616,100
.8708333,100.6158,100
.8625,100.6156,100
.7958333,100.6139,100
.7708333,100.6133,100
.7625,100.6131,100
.7541667,100.6129,100
.7458333,100.6127,100
.7375,100.6125,100
.7291667,100.6123,100
.7208334,100.6121,100
.7125,100.6119,100
.7041667,100.6118,100
.6958333,100.6116,100
.6875,100.6114,100
.6791667,100.6112,100
.6708333,100.6111,100
.6625,100.6109,100
.6541666,100.6107,100
.5958334,100.6096,100
.5291666,100.6085,100
.5208333,100.6083,100
.5125,100.6082,100
.5041667,100.6081,100
.4958333,100.6079,100
.4875,100.6078,100
.4791667,100.6077,100
.4708333,100.6076,100
.4125,100.6068,100
.3458333,100.606,100
.2625,100.6052,100
.2541667,100.6052,100
.2458333,100.6051,100
.2375,100.605,100
.2291667,100.605,100
.2208333,100.6049,100
.2125,100.6049,100
.2041667,100.6048,100
.1958333,100.6048,100
.1875,100.6047,100
.1375,100.6045,100
.1291667,100.6044,100
.1125,100.6044,100
.1041667,100.6043,100
.0958333,100.6043,100
.0875,100.6043,100
.0791667,100.6043,100
.0708333,100.6042,100
.0625,100.6042,100
.0541667,100.6042,100
.0458333,100.6042,100
.0375,100.6042,100
.0291667,100.6042,100
.0208333,100.6042,100
.0125,100.6042,100
.0041667,100.6042,100
1.679167,100.6557,100
1.670833,100.6553,100
1.6625,100.6549,100
1.654167,100.6544,100
1.645833,100.654,100
1.6375,100.6536,100
1.629167,100.6532,100
1.6125,100.6524,100
1.604167,100.6519,100
1.595833,100.6515,100
1.520833,100.648,100
1.479167,100.646,100
1.404167,100.6427,100
1.395833,100.6424,100
1.3875,100.642,100
1.379167,100.6417,100
1.370833,100.6413,100
1.3625,100.641,100
1.354167,100.6406,100
1.345833,100.6403,100
1.3375,100.6399,100
1.329167,100.6396,100
1.320833,100.6392,100
1.3125,100.6389,100
1.304167,100.6386,100
1.295833,100.6382,100
1.2875,100.6379,100
1.279167,100.6376,100
1.2625,100.6369,100
1.2375,100.636,100
1.229167,100.6357,100
1.220833,100.6353,100
1.2125,100.635,100
1.195833,100.6344,100
